,Movie_Titles,Director,Genre,IMDB_Ratings,Votes,Certificate,Gross,Years
167,A Beautiful Mind,Ron Howard,Biography,8.2,918410,UA,170.74,2001
168,Kill Bill: Vol. 1,Quentin Tarantino,Action,8.2,1094151,A,70.1,2003
169,Finding Nemo,"Andrew Stanton, ",Animation,8.2,1026606,U,380.84,2003
170,The Sixth Sense,M. Night Shyamalan,Drama,8.2,976758,A,293.51,1999
171,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Action,8.2,575003,A,3.9,1998
172,The Truman Show,Peter Weir,Comedy,8.2,1051108,U,125.62,1998
173,L.A. Confidential,Curtis Hanson,Crime,8.2,576032,A,64.62,1997
174,Bacheha-Ye aseman,Majid Majidi,Drama,8.2,74131,PG,0.93,1997
175,Casino,Martin Scorsese,Crime,8.2,510979,A,42.44,1995
176,Jurassic Park,Steven Spielberg,Action,8.2,968394,UA,402.45,1993
177,Unforgiven,Clint Eastwood,Drama,8.2,406980,A,101.16,1992
178,Indiana Jones and the Last Crusade,Steven Spielberg,Action,8.2,743787,U,197.17,1989
179,Die Hard,John McTiernan,Action,8.2,863411,A,83.01,1988
180,Ran,Akira Kurosawa,Action,8.2,124283,U,4.14,1985
181,The Thing,John Carpenter,Horror,8.2,414771,A,13.78,1982
182,Raging Bull,Martin Scorsese,Biography,8.2,349128,A,23.38,1980
183,The Elephant Man,David Lynch,Biography,8.2,238566,UA,79.78543749999999,1980
184,Taxi Driver,Martin Scorsese,Crime,8.2,809057,A,28.26,1976
185,Monty Python and the Holy Grail,"Terry Gilliam, ",Adventure,8.2,535271,U,1.23,1975
186,Dersu Uzala,Akira Kurosawa,Adventure,8.2,29025,U,79.78543749999999,1975
187,Chinatown,Roman Polanski,Drama,8.2,322553,UA,8.49,1974
188,Z,Costa-Gavras,Crime,8.2,28589,M/PG,0.08,1969
189,Per qualche dollaro in più,Sergio Leone,Western            ,8.2,253540,U,15.0,1965
190,The Great Escape,John Sturges,Adventure,8.2,242334,U,12.1,1963
191,Yôjinbô,Akira Kurosawa,Action,8.2,121788,U,79.78543749999999,1961
192,Some Like It Hot,Billy Wilder,Comedy,8.2,264085,U,25.0,1959
193,The Bridge on the River Kwai,David Lean,Adventure,8.2,218762,U,44.91,1957
194,Dial M for Murder,Alfred Hitchcock,Crime,8.2,173882,A,0.01,1954
195,Tôkyô monogatari,Yasujirô Ozu,Drama            ,8.2,61026,U,79.78543749999999,1953
196,Le salaire de la peur,Henri-Georges Clouzot,Adventure,8.2,60673,U,79.78543749999999,1953
197,Umberto D.,Vittorio De Sica,Drama            ,8.2,25741, ,0.07,1952
198,Rashômon,Akira Kurosawa,Crime,8.2,166694,U,0.1,1950
199,All About Eve,Joseph L. Mankiewicz,Drama            ,8.2,130385, ,0.01,1950
200,The Treasure of the Sierra Madre,John Huston,Adventure,8.2,123988, ,5.01,1948
201,To Be or Not to Be,Ernst Lubitsch,Comedy,8.2,36669, ,79.78543749999999,1942
202,Gone with the Wind,"Victor Fleming, ",Drama,8.2,312347,U,198.68,1939
203,La passion de Jeanne d'Arc,Carl Theodor Dreyer,Biography,8.2,54185, ,0.02,1928
204,The General,"Clyde Bruckman, ",Action,8.2,90650, ,1.03,1926
205,The Gold Rush,Charles Chaplin,Adventure,8.2,110441, ,5.45,1925
206,Sherlock Jr.,Buster Keaton,Action,8.2,49257, ,0.98,1924
207,Portrait de la jeune fille en feu,Céline Sciamma,Drama,8.1,87960,18,3.76,2019
208,Pink,Aniruddha Roy Chowdhury,Crime,8.1,44622,UA,1.24,2016
209,Koe no katachi,Naoko Yamada,Animation,8.1,77703,16,79.78543749999999,2016
210,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Comedy,8.1,495446,A,54.51,2017
211,Talvar,Meghna Gulzar,Crime,8.1,35040,UA,0.34,2015
212,Klaus,"Sergio Pablos, ",Animation,8.1,144776,7,79.78543749999999,2019
213,Masaan,Neeraj Ghaywan,Drama            ,8.1,27782,A,79.78543749999999,2015
214,Ah-ga-ssi,Park Chan-wook,Drama,8.1,141784,A,2.01,2016
215,Bajrangi Bhaijaan,Kabir Khan,Action,8.1,86043,UA,8.18,2015
216,Haider,Vishal Bhardwaj,Action,8.1,54803,UA,0.9,2014
217,Queen,Vikas Bahl,Adventure,8.1,65482,UA,1.43,2013
218,Logan,James Mangold,Action,8.1,740890,A,226.28,2017
219,Room,Lenny Abrahamson,Drama,8.1,413799,U,14.68,2015
220,Relatos salvajes,Damián Szifron,Comedy,8.1,195677,18,3.11,2014
221,Mandariinid,Zaza Urushadze,Drama,8.1,46059, ,0.14,2013
222,PK,Rajkumar Hirani,Comedy,8.1,181899,UA,10.62,2014
223,OMG: Oh My God!,Umesh Shukla,Comedy,8.1,58129,U,0.92,2012
224,The Grand Budapest Hotel,Wes Anderson,Adventure,8.1,790932,UA,59.1,2014
225,Gone Girl,David Fincher,Drama,8.1,961934,A,167.77,2014
226,Ôkami kodomo no Ame to Yuki,Mamoru Hosoda,Animation,8.1,44433,U,79.78543749999999,2012
227,Hacksaw Ridge,Mel Gibson,Biography,8.1,510157,A,67.21,2016
228,Barfi!,Anurag Basu,Comedy,8.1,81303,U,2.8,2012
229,12 Years a Slave,Steve McQueen,Biography,8.1,691267,A,56.67,2013
230,Rush,Ron Howard,Action,8.1,473120,R,26.95,2013
231,Ford v Ferrari,James Mangold,Action,8.1,375978,UA,117.62,2019
232,Spotlight,Tom McCarthy,Biography,8.1,463248,A,45.06,2015
233,Kahaani,Sujoy Ghosh,Mystery,8.1,62583,UA,1.04,2012
234,Udaan,Vikramaditya Motwane,Drama            ,8.1,44925,UA,0.01,2010
235,Zindagi Na Milegi Dobara,Zoya Akhtar,Comedy,8.1,76908,U,3.11,2011
236,The Help,Tate Taylor,Drama            ,8.1,453573,UA,169.71,2011
237,Prisoners,Denis Villeneuve,Crime,8.1,690272,A,61.0,2013
238,Mad Max: Fury Road,George Miller,Action,8.1,979914,UA,154.06,2015
239,A Wednesday,Neeraj Pandey,Action,8.1,78244,UA,79.78543749999999,2008
240,Gran Torino,Clint Eastwood,Drama            ,8.1,766834,UA,148.1,2008
241,Harry Potter and the Deathly Hallows: Part 2,David Yates,Adventure,8.1,856200,UA,381.01,2011
242,Hachi: A Dog's Tale,Lasse Hallström,Biography,8.1,280715,U,79.78543749999999,2009
243,Mary and Max.,Adam Elliot,Animation,8.1,176044, ,79.78543749999999,2009
244,How to Train Your Dragon,"Dean DeBlois, ",Animation,8.1,727445,U,217.58,2010
245,Chak De! India,Shimit Amin,Drama,8.1,79609,U,1.11,2007
246,Into the Wild,Sean Penn,Adventure,8.1,616442,U,18.35,2007
247,Rang De Basanti,Rakeysh Omprakash Mehra,Comedy,8.1,118558,UA,2.2,2006
248,Million Dollar Baby,Clint Eastwood,Drama,8.1,679953,UA,100.49,2004
249,Hotel Rwanda,Terry George,Biography,8.1,353139,UA,23.53,2004
250,Ratatouille,"Brad Bird, ",Animation,8.1,715984,U,206.45,2007
251,Before Sunset,Richard Linklater,Drama,8.1,260145,A,5.82,2004
252,Black,Sanjay Leela Bhansali,Drama            ,8.1,34893,U,0.73,2005
253,Munna Bhai M.B.B.S.,Rajkumar Hirani,Comedy,8.1,81031,U,79.78543749999999,2003
254,"Swades: We, the People",Ashutosh Gowariker,Drama,8.1,89666,U,1.22,2004
255,Salinui chueok,Bong Joon Ho,Crime,8.1,177278,UA,0.01,2003
256,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Action,8.1,1106730,UA,305.41,2003
257,Dil Chahta Hai,Farhan Akhtar,Comedy,8.1,71664,Unrated,0.3,2001
258,Catch Me If You Can,Steven Spielberg,Biography,8.1,952873,A,164.62,2002
259,Her Sey Çok Güzel Olacak,Ömer Vargi,Comedy,8.1,25429, ,79.78543749999999,1998
260,Amores perros,Alejandro G. Iñárritu,Drama,8.1,238634,A,5.38,2000
261,Hera Pheri,Priyadarshan,Action,8.1,65881,U,79.78543749999999,2000
